,School,SRS,SOS,DRB,oEFG,dEFG,oTOV,dTOV,oREB,dREB,oFT,dFT
451,South Dakota State_2016,5.44,-1.22,898,0.515,0.473,0.252,0.264,0.325,0.743,0.298,0.281
452,Southern California_2016,13.52,7.64,936,0.522,0.473,0.263,0.284,0.321,0.685,0.237,0.199
453,Southern_2016,-7.68,-9.37,893,0.496,0.474,0.254,0.279,0.289,0.684,0.247,0.254
454,Stephen F. Austin_2016,9.23,-5.47,783,0.545,0.488,0.27,0.325,0.346,0.7,0.253,0.258
455,Stony Brook_2016,3.75,-5.28,886,0.524,0.464,0.272,0.311,0.36,0.746,0.215,0.192
456,Syracuse_2016,14.62,9.75,874,0.501,0.473,0.272,0.311,0.334,0.65,0.243,0.186
457,Temple_2016,7.69,6.57,854,0.47,0.465,0.266,0.279,0.291,0.705,0.182,0.213
458,Texas A&M_2016,18.45,8.45,984,0.512,0.474,0.254,0.305,0.346,0.713,0.256,0.213
459,Texas Tech_2016,12.41,10.25,760,0.5,0.496,0.255,0.286,0.312,0.679,0.314,0.232
460,Texas_2016,14.8,11.71,776,0.494,0.477,0.239,0.268,0.307,0.682,0.263,0.268
461,Tulsa_2016,9.79,5.76,800,0.503,0.482,0.243,0.294,0.278,0.697,0.268,0.259
462,Utah_2016,15.5,8.79,988,0.557,0.48,0.271,0.299,0.302,0.727,0.276,0.165
463,Vanderbilt_2016,17.2,8.68,960,0.529,0.431,0.254,0.24,0.272,0.708,0.276,0.233
464,Villanova_2016,24.08,9.71,1034,0.561,0.467,0.267,0.31,0.28,0.712,0.267,0.198
465,Virginia Commonwealth_2016,13.83,4.35,900,0.51,0.491,0.264,0.297,0.332,0.725,0.223,0.249
466,Virginia_2016,22.04,11.12,866,0.548,0.484,0.261,0.29,0.298,0.751,0.241,0.234
467,Weber State_2016,0.18,-5.13,996,0.559,0.464,0.265,0.286,0.265,0.748,0.294,0.181
468,West Virginia_2016,21.61,9.78,822,0.498,0.484,0.253,0.284,0.419,0.729,0.311,0.395
469,Wichita State_2016,17.39,4.24,897,0.49,0.446,0.237,0.292,0.317,0.765,0.272,0.32
470,Wisconsin_2016,13.4,9.4,830,0.485,0.48,0.257,0.286,0.33,0.726,0.267,0.238
471,Xavier_2016,18.58,8.43,951,0.514,0.478,0.25,0.292,0.352,0.74,0.305,0.234
472,Yale_2016,9.08,-1.03,801,0.526,0.465,0.266,0.288,0.394,0.758,0.276,0.227
473,Arizona_2017,18.25,7.63,978,0.537,0.477,0.249,0.294,0.331,0.743,0.31,0.196
474,Arkansas_2017,14.04,8.6,897,0.514,0.478,0.255,0.265,0.317,0.661,0.29,0.275
475,Baylor_2017,19.75,11.87,878,0.53,0.462,0.293,0.288,0.402,0.714,0.244,0.213
476,Bucknell_2017,5.89,-2.48,901,0.553,0.48,0.28,0.297,0.267,0.722,0.253,0.218
477,Butler_2017,17.7,10.23,804,0.546,0.508,0.248,0.285,0.271,0.733,0.275,0.258
478,UC-Davis_2017,-5.21,-4.68,916,0.49,0.487,0.277,0.301,0.289,0.725,0.278,0.228
479,Cincinnati_2017,18.43,5.49,891,0.52,0.452,0.256,0.311,0.355,0.708,0.223,0.214
480,Creighton_2017,17.27,8.95,934,0.576,0.498,0.297,0.307,0.248,0.711,0.189,0.199
481,Dayton_2017,12.98,4.27,820,0.538,0.477,0.247,0.304,0.258,0.724,0.301,0.247
482,Duke_2017,21.56,10.91,951,0.548,0.475,0.25,0.282,0.316,0.704,0.299,0.222
483,East Tennessee State_2017,7.31,-2.11,912,0.555,0.487,0.275,0.3,0.313,0.728,0.304,0.268
484,Florida Gulf Coast_2017,2.26,-3.42,890,0.554,0.484,0.279,0.282,0.339,0.719,0.231,0.238
485,Florida State_2017,18.87,8.87,915,0.537,0.479,0.251,0.281,0.336,0.705,0.265,0.267
486,Florida_2017,22.4,11.01,915,0.516,0.458,0.252,0.301,0.318,0.709,0.293,0.241
487,Gonzaga_2017,25.26,4.13,1209,0.567,0.411,0.251,0.298,0.298,0.742,0.28,0.177
488,Iona_2017,1.08,-2.47,913,0.534,0.5,0.279,0.279,0.269,0.68,0.238,0.232
489,Iowa State_2017,20.51,11.94,901,0.55,0.49,0.27,0.319,0.256,0.684,0.194,0.18
490,Jacksonville State_2017,-2.85,-3.24,889,0.528,0.486,0.298,0.267,0.315,0.722,0.247,0.245
491,Kansas State_2017,14.8,10.48,802,0.527,0.496,0.269,0.31,0.295,0.677,0.286,0.244
492,Kansas_2017,23.53,12.23,965,0.561,0.481,0.268,0.297,0.339,0.706,0.244,0.215
493,Kent State_2017,0.88,-1.63,915,0.484,0.497,0.276,0.292,0.387,0.704,0.236,0.234
494,Kentucky_2017,23.88,10.49,1042,0.529,0.475,0.237,0.292,0.332,0.729,0.288,0.227
495,Louisville_2017,22.47,11.15,886,0.514,0.457,0.257,0.278,0.366,0.718,0.233,0.269
496,Marquette_2017,15.26,8.6,778,0.576,0.522,0.287,0.278,0.27,0.709,0.242,0.249
497,Maryland_2017,12.79,8.29,822,0.523,0.471,0.269,0.286,0.311,0.682,0.278,0.23
498,Miami (FL)_2017,14.48,9.57,813,0.51,0.476,0.287,0.3,0.334,0.719,0.246,0.212
499,Michigan State_2017,13.67,10.5,947,0.54,0.467,0.301,0.259,0.291,0.731,0.224,0.252
500,Michigan_2017,18.8,10.17,831,0.57,0.519,0.264,0.315,0.245,0.705,0.234,0.186
501,Middle Tennessee_2017,9.8,-0.48,918,0.543,0.478,0.271,0.288,0.307,0.762,0.212,0.265
502,Minnesota_2017,14.56,8.82,963,0.487,0.451,0.247,0.289,0.296,0.699,0.281,0.199
503,Mount St. Mary's_2017,-4.29,-3.51,806,0.51,0.499,0.298,0.308,0.23,0.654,0.218,0.215
504,Nevada_2017,10.49,2.03,965,0.525,0.483,0.237,0.283,0.303,0.739,0.291,0.195
505,New Mexico State_2017,4.66,-3.82,903,0.531,0.467,0.262,0.288,0.367,0.709,0.307,0.237
506,New Orleans_2017,-4.1,-5.34,754,0.513,0.5,0.294,0.315,0.367,0.684,0.303,0.235
507,North Carolina Central_2017,-3.18,-12.12,916,0.517,0.445,0.271,0.311,0.329,0.688,0.233,0.186
508,North Carolina-Wilmington_2017,8.06,-0.55,839,0.555,0.526,0.253,0.282,0.328,0.724,0.219,0.283
509,North Carolina_2017,24.84,11.76,1118,0.519,0.48,0.254,0.297,0.413,0.755,0.244,0.228
510,North Dakota_2017,-1.83,-5.45,849,0.542,0.501,0.273,0.286,0.268,0.733,0.26,0.266
511,Northern Kentucky_2017,-0.17,-2.84,928,0.529,0.494,0.279,0.288,0.317,0.742,0.247,0.213
512,Northwestern_2017,14.02,8.43,918,0.497,0.461,0.273,0.27,0.307,0.694,0.228,0.242
513,Notre Dame_2017,17.81,9.78,878,0.536,0.491,0.264,0.309,0.273,0.694,0.229,0.196
514,Oklahoma State_2017,19.19,12.22,761,0.539,0.535,0.262,0.27,0.381,0.688,0.302,0.325
515,Oregon_2017,20.8,8.38,1019,0.554,0.462,0.268,0.317,0.322,0.714,0.247,0.185
516,Princeton_2017,6.57,-1.84,756,0.537,0.478,0.294,0.306,0.244,0.761,0.179,0.219
517,Providence_2017,11.24,7.84,807,0.514,0.496,0.273,0.309,0.264,0.715,0.263,0.207
518,Purdue_2017,20.13,8.79,978,0.557,0.477,0.286,0.313,0.307,0.758,0.252,0.162
519,Rhode Island_2017,12.88,4.62,892,0.507,0.451,0.248,0.26,0.328,0.705,0.262,0.319
520,Saint Mary's (CA)_2017,16.75,2.19,881,0.578,0.453,0.297,0.286,0.33,0.782,0.207,0.184
521,Seton Hall_2017,12.1,9.25,872,0.499,0.49,0.275,0.272,0.357,0.747,0.242,0.26
522,South Carolina_2017,17.52,10.16,882,0.477,0.454,0.262,0.296,0.335,0.698,0.278,0.319
523,South Dakota State_2017,-2.3,-0.66,913,0.537,0.536,0.268,0.295,0.274,0.719,0.311,0.188
524,Southern California_2017,11.48,6.4,899,0.522,0.501,0.251,0.313,0.309,0.688,0.273,0.172
525,Southern Methodist_2017,18.71,4.45,919,0.547,0.46,0.26,0.316,0.371,0.736,0.251,0.17
526,Texas Southern_2017,-6.41,-7.81,827,0.48,0.491,0.239,0.29,0.316,0.652,0.325,0.221
527,Troy_2017,-0.47,-3.36,953,0.528,0.495,0.261,0.284,0.316,0.715,0.285,0.232
528,UCLA_2017,20.67,6.39,1043,0.598,0.487,0.282,0.292,0.289,0.716,0.198,0.173
529,Vanderbilt_2017,13.69,10.72,922,0.521,0.481,0.283,0.275,0.247,0.731,0.271,0.214
530,Vermont_2017,6.67,-3.27,866,0.554,0.475,0.273,0.323,0.303,0.733,0.239,0.183
531,Villanova_2017,23.8,9.28,892,0.575,0.481,0.271,0.34,0.3,0.726,0.276,0.155
532,Virginia Commonwealth_2017,11.57,3.77,889,0.51,0.475,0.269,0.285,0.312,0.727,0.257,0.285
533,Virginia Tech_2017,12.77,8.38,828,0.569,0.51,0.259,0.29,0.234,0.698,0.301,0.196
534,Virginia_2017,20.63,10.93,822,0.524,0.461,0.289,0.303,0.282,0.757,0.184,0.237
535,Wake Forest_2017,14.19,9.8,850,0.541,0.527,0.247,0.255,0.307,0.725,0.317,0.275
536,West Virginia_2017,24.45,9.67,853,0.513,0.488,0.25,0.321,0.377,0.685,0.266,0.29
537,Wichita State_2017,21.24,2.96,1038,0.543,0.437,0.245,0.288,0.343,0.764,0.294,0.248
538,Winthrop_2017,1.34,-6.12,908,0.535,0.463,0.271,0.29,0.271,0.719,0.266,0.242
539,Wisconsin_2017,19.4,9.4,917,0.521,0.476,0.269,0.314,0.357,0.746,0.212,0.207
540,Xavier_2017,14.8,11.51,965,0.519,0.516,0.26,0.279,0.345,0.745,0.283,0.233
541,Alabama_2018,12.34,10.64,930,0.519,0.478,0.277,0.276,0.294,0.692,0.281,0.25
542,Arizona State_2018,14.37,6.56,811,0.538,0.507,0.232,0.301,0.279,0.694,0.303,0.235
543,Arizona_2018,15.67,6.84,924,0.563,0.499,0.267,0.28,0.333,0.749,0.281,0.229
544,Arkansas_2018,14.76,9.85,857,0.538,0.504,0.245,0.271,0.287,0.685,0.255,0.297
545,Auburn_2018,15.97,7.29,883,0.508,0.497,0.248,0.29,0.32,0.721,0.308,0.275
546,Bucknell_2018,4.48,-3.46,956,0.539,0.478,0.25,0.271,0.27,0.726,0.306,0.24
547,Buffalo_2018,7.99,0.25,958,0.549,0.484,0.281,0.268,0.318,0.711,0.208,0.29
548,Butler_2018,16.92,10.55,874,0.54,0.519,0.291,0.292,0.274,0.759,0.202,0.262
549,Cal State Fullerton_2018,-0.92,-1.02,843,0.516,0.472,0.275,0.28,0.271,0.725,0.316,0.263
550,Cincinnati_2018,20.25,3.53,934,0.512,0.433,0.258,0.33,0.385,0.721,0.249,0.183
551,Clemson_2018,17.17,9.25,943,0.529,0.472,0.278,0.3,0.271,0.74,0.253,0.19
552,College of Charleston_2018,1.83,-3.29,843,0.527,0.495,0.246,0.286,0.257,0.724,0.277,0.233
553,Creighton_2018,16.35,8.1,957,0.575,0.496,0.291,0.301,0.225,0.76,0.194,0.176
554,Davidson_2018,11.02,2.57,849,0.574,0.512,0.289,0.283,0.226,0.767,0.196,0.203
555,Duke_2018,24.44,9.71,1023,0.559,0.464,0.269,0.316,0.388,0.703,0.246,0.162
556,Florida State_2018,15.79,8.5,924,0.532,0.484,0.268,0.294,0.32,0.707,0.256,0.231
557,Florida_2018,16.67,10.08,831,0.507,0.486,0.249,0.299,0.287,0.697,0.234,0.236
558,Georgia State_2018,3.23,-2.78,873,0.54,0.471,0.281,0.29,0.26,0.677,0.205,0.258
559,Gonzaga_2018,18.43,2.59,1064,0.57,0.471,0.268,0.295,0.329,0.771,0.227,0.208
560,Houston_2018,15.99,4.16,944,0.533,0.455,0.277,0.269,0.336,0.747,0.234,0.293
561,Iona_2018,0.76,-2.19,855,0.539,0.525,0.279,0.303,0.244,0.693,0.223,0.189
562,Kansas State_2018,12.84,8.74,832,0.525,0.491,0.276,0.297,0.258,0.683,0.248,0.269
563,Kansas_2018,21.39,11.87,1007,0.575,0.491,0.294,0.314,0.293,0.69,0.191,0.175
564,Kentucky_2018,17.24,10.73,990,0.518,0.468,0.254,0.273,0.355,0.694,0.307,0.224
565,Lipscomb_2018,-2.1,-3.8,930,0.518,0.511,0.272,0.288,0.283,0.761,0.291,0.259
566,Long Island University_2018,-8.61,-8.19,957,0.523,0.495,0.279,0.273,0.297,0.705,0.266,0.22
567,Loyola (IL)_2018,10.38,1.81,984,0.577,0.474,0.301,0.325,0.224,0.746,0.231,0.174
568,Marshall_2018,4.21,0.44,994,0.548,0.497,0.28,0.3,0.225,0.685,0.256,0.194
569,Maryland-Baltimore County_2018,-2.02,-3.84,897,0.531,0.509,0.289,0.316,0.268,0.726,0.198,0.208
570,Miami (FL)_2018,12.83,6.96,795,0.531,0.49,0.286,0.307,0.291,0.717,0.192,0.2
571,Michigan State_2018,22.41,7.1,1034,0.569,0.427,0.281,0.259,0.37,0.737,0.268,0.223
572,Michigan_2018,19.03,9.41,1022,0.545,0.476,0.257,0.308,0.254,0.75,0.203,0.215
573,Missouri_2018,13.81,9.19,892,0.537,0.467,0.288,0.277,0.312,0.722,0.286,0.218
574,Montana_2018,6.28,-2.25,856,0.513,0.487,0.26,0.289,0.333,0.744,0.273,0.302
575,Murray State_2018,6.87,-3.53,845,0.558,0.467,0.264,0.297,0.33,0.729,0.28,0.215
576,Nevada_2018,14.44,4.93,974,0.548,0.494,0.234,0.292,0.264,0.713,0.269,0.214
577,New Mexico State_2018,9.06,-1.1,975,0.519,0.455,0.294,0.301,0.342,0.776,0.184,0.227
578,North Carolina Central_2018,-13.19,-12.31,921,0.512,0.481,0.312,0.28,0.339,0.72,0.199,0.233
579,North Carolina-Greensboro_2018,4.54,-3.87,889,0.525,0.47,0.318,0.302,0.342,0.771,0.185,0.28
580,North Carolina State_2018,12.91,6.7,775,0.534,0.516,0.266,0.299,0.334,0.681,0.238,0.237
581,North Carolina_2018,20.08,11.78,1059,0.52,0.501,0.284,0.296,0.374,0.745,0.208,0.178
582,Ohio State_2018,17.67,9.03,911,0.541,0.487,0.282,0.296,0.301,0.751,0.227,0.207
583,Oklahoma_2018,13.81,10.56,890,0.535,0.51,0.278,0.299,0.284,0.699,0.247,0.18
584,Pennsylvania_2018,2.24,-3.17,956,0.533,0.463,0.273,0.285,0.236,0.777,0.22,0.228
585,Providence_2018,11.12,10.23,878,0.496,0.503,0.261,0.295,0.288,0.711,0.272,0.233
586,Purdue_2018,23.41,8.74,976,0.577,0.47,0.258,0.314,0.278,0.722,0.265,0.167
587,Radford_2018,-2.61,-4.08,829,0.494,0.501,0.295,0.308,0.337,0.723,0.222,0.23
588,Rhode Island_2018,11.81,4.61,781,0.511,0.503,0.267,0.298,0.31,0.72,0.209,0.298
589,San Diego State_2018,12.23,3.91,884,0.519,0.482,0.264,0.309,0.319,0.749,0.255,0.209
590,Seton Hall_2018,15.67,10.11,886,0.529,0.503,0.271,0.292,0.342,0.719,0.246,0.216
591,South Dakota State_2018,6.84,-0.38,1050,0.554,0.492,0.241,0.286,0.248,0.775,0.269,0.178
592,St. Bonaventure_2018,8.87,2.61,864,0.516,0.49,0.248,0.285,0.292,0.71,0.305,0.275
593,Stephen F. Austin_2018,2.67,-6.46,846,0.544,0.496,0.284,0.306,0.335,0.722,0.28,0.336
594,Syracuse_2018,12.89,10.02,933,0.469,0.462,0.266,0.297,0.346,0.7,0.298,0.229
595,Tennessee_2018,18.2,10.12,858,0.508,0.467,0.271,0.287,0.333,0.691,0.269,0.267
596,Texas A&M_2018,15.3,10.62,1018,0.514,0.469,0.292,0.278,0.339,0.729,0.212,0.19
597,Texas Christian_2018,16.38,9.68,833,0.566,0.523,0.277,0.289,0.341,0.741,0.241,0.223
598,Texas Southern_2018,-7.53,-5.53,929,0.505,0.512,0.25,0.27,0.284,0.678,0.311,0.208
599,Texas Tech_2018,19.38,9.6,925,0.52,0.463,0.262,0.296,0.329,0.715,0.276,0.267
600,Texas_2018,13.96,10.67,856,0.5,0.483,0.273,0.307,0.295,0.708,0.219,0.187
601,UCLA_2018,12.07,6.86,946,0.537,0.491,0.264,0.264,0.284,0.732,0.256,0.208
602,Villanova_2018,26.64,10.24,1051,0.595,0.485,0.271,0.307,0.293,0.735,0.229,0.2
603,Virginia Tech_2018,14.35,6.72,832,0.577,0.504,0.268,0.3,0.239,0.706,0.259,0.205
604,Virginia_2018,22.21,9.07,817,0.527,0.443,0.281,0.329,0.269,0.745,0.184,0.192
605,West Virginia_2018,19.88,9.36,880,0.504,0.499,0.265,0.293,0.368,0.701,0.24,0.314
606,Wichita State_2018,16.58,5.46,931,0.551,0.494,0.262,0.271,0.356,0.775,0.257,0.241
607,Wright State_2018,0.58,-3.64,910,0.491,0.483,0.28,0.325,0.289,0.75,0.256,0.207
608,Xavier_2018,19.08,9.45,997,0.559,0.499,0.256,0.294,0.302,0.771,0.32,0.195
609,Abilene Christian_2019,-1.91,-7.34,785,0.535,0.488,0.279,0.318,0.288,0.727,0.239,0.267
610,Arizona State_2019,10.28,6.04,952,0.506,0.485,0.257,0.276,0.313,0.735,0.298,0.272
611,Auburn_2019,20.84,10.92,912,0.543,0.512,0.275,0.319,0.316,0.683,0.221,0.254
612,Baylor_2019,13.38,9.26,831,0.512,0.491,0.292,0.276,0.376,0.711,0.219,0.249
613,Belmont_2019,9.12,-2.6,989,0.58,0.484,0.278,0.293,0.251,0.759,0.211,0.188
614,Bradley_2019,-0.08,-0.9,882,0.497,0.477,0.283,0.283,0.269,0.738,0.248,0.254
615,Buffalo_2019,15.56,2.62,1018,0.535,0.474,0.265,0.308,0.318,0.737,0.225,0.221
616,UC-Irvine_2019,5.7,-2.3,1042,0.516,0.439,0.29,0.273,0.34,0.733,0.208,0.233
617,Central Florida_2019,13.37,5.58,900,0.529,0.454,0.248,0.293,0.29,0.708,0.294,0.189
618,Cincinnati_2019,14.53,5.5,822,0.49,0.486,0.245,0.313,0.369,0.712,0.265,0.202
619,Colgate_2019,1.23,-3.83,918,0.559,0.503,0.309,0.296,0.291,0.737,0.21,0.203
620,Duke_2019,26.9,11.98,1072,0.536,0.45,0.274,0.325,0.353,0.709,0.228,0.167
621,Fairleigh Dickinson_2019,-6.09,-7.24,832,0.544,0.513,0.288,0.313,0.288,0.681,0.263,0.207
622,Florida State_2019,17.99,10.26,973,0.505,0.472,0.279,0.295,0.323,0.737,0.267,0.257
623,Florida_2019,15.42,11.22,826,0.498,0.481,0.291,0.31,0.306,0.679,0.216,0.233
624,Gardner-Webb_2019,-2.61,-4.43,919,0.558,0.488,0.262,0.309,0.245,0.7,0.269,0.198
625,Georgia State_2019,2.44,0.65,837,0.543,0.499,0.265,0.309,0.231,0.662,0.235,0.216
626,Gonzaga_2019,27.79,5.01,1089,0.59,0.442,0.249,0.316,0.304,0.74,0.269,0.18
627,Houston_2019,18.91,4.61,1054,0.521,0.425,0.27,0.272,0.338,0.745,0.222,0.259
628,Iona_2019,-4.78,-5.5,869,0.53,0.523,0.269,0.301,0.243,0.702,0.275,0.195
629,Iowa State_2019,18.07,9.3,903,0.548,0.484,0.276,0.32,0.284,0.699,0.22,0.169
630,Iowa_2019,14.27,9.84,889,0.527,0.515,0.251,0.301,0.295,0.71,0.313,0.199
631,Kansas State_2019,15.39,9.18,812,0.493,0.482,0.286,0.327,0.284,0.744,0.204,0.207
632,Kansas_2019,18.35,12.79,1002,0.526,0.478,0.289,0.299,0.299,0.722,0.229,0.191
633,Kentucky_2019,21.43,10.29,1001,0.53,0.466,0.26,0.305,0.364,0.748,0.31,0.189
634,Liberty_2019,5.27,-3.88,904,0.569,0.478,0.301,0.31,0.251,0.751,0.205,0.21
635,Louisiana State_2019,16.5,9.16,895,0.512,0.499,0.265,0.298,0.362,0.698,0.279,0.229
636,Louisville_2019,17.28,11.04,952,0.509,0.468,0.273,0.271,0.29,0.743,0.271,0.223
637,Marquette_2019,14.78,6.96,961,0.535,0.463,0.287,0.263,0.291,0.738,0.266,0.244
638,Maryland_2019,16.01,10.09,958,0.514,0.459,0.291,0.272,0.34,0.753,0.244,0.193
639,Michigan State_2019,24.93,12.34,1165,0.552,0.439,0.284,0.274,0.332,0.743,0.253,0.187
640,Michigan_2019,21.82,10.55,1008,0.516,0.441,0.268,0.317,0.239,0.759,0.193,0.16
641,Minnesota_2019,12.52,11.27,912,0.482,0.495,0.248,0.29,0.309,0.721,0.283,0.195
642,Mississippi State_2019,15.96,9.07,822,0.546,0.503,0.291,0.298,0.346,0.706,0.234,0.23
643,Mississippi_2019,12.32,8.13,806,0.531,0.51,0.293,0.3,0.301,0.708,0.242,0.236
644,Montana_2019,1.5,-5.05,883,0.564,0.494,0.286,0.289,0.266,0.755,0.216,0.27
645,Murray State_2019,8.96,-3.11,896,0.557,0.461,0.272,0.313,0.313,0.704,0.246,0.197
646,Nevada_2019,16.0,2.68,949,0.537,0.477,0.232,0.312,0.271,0.753,0.289,0.189
647,New Mexico State_2019,10.05,-2.38,898,0.538,0.486,0.27,0.3,0.367,0.792,0.231,0.228
648,North Carolina Central_2019,-11.53,-11.24,866,0.512,0.491,0.308,0.304,0.351,0.738,0.239,0.205
649,North Carolina_2019,23.94,11.35,1112,0.529,0.489,0.282,0.305,0.348,0.776,0.224,0.193
650,North Dakota State_2019,-4.01,-2.07,876,0.54,0.525,0.273,0.282,0.206,0.755,0.247,0.194
651,Northeastern_2019,3.95,-0.7,838,0.565,0.521,0.273,0.294,0.225,0.755,0.258,0.204
652,Northern Kentucky_2019,4.67,-2.39,934,0.553,0.481,0.274,0.287,0.306,0.747,0.236,0.251
653,Ohio State_2019,13.89,11.0,887,0.503,0.483,0.287,0.29,0.276,0.742,0.247,0.235
654,Oklahoma_2019,15.3,12.21,958,0.504,0.475,0.282,0.313,0.256,0.722,0.218,0.156
655,Old Dominion_2019,3.74,-1.18,947,0.471,0.456,0.291,0.29,0.318,0.756,0.192,0.216
656,Oregon_2019,13.95,6.13,946,0.52,0.464,0.293,0.302,0.291,0.718,0.212,0.238
657,Prairie View_2019,-7.29,-9.17,759,0.493,0.514,0.252,0.296,0.298,0.659,0.289,0.321
658,Purdue_2019,21.4,11.99,920,0.536,0.49,0.271,0.293,0.338,0.735,0.215,0.232
659,Saint Louis_2019,5.06,2.23,936,0.467,0.469,0.267,0.294,0.357,0.754,0.236,0.242
660,Saint Mary's (CA)_2019,12.58,4.4,851,0.538,0.489,0.281,0.286,0.308,0.772,0.216,0.214
661,Seton Hall_2019,10.25,8.34,852,0.499,0.496,0.274,0.298,0.296,0.708,0.243,0.244
662,St. John's (NY)_2019,7.88,5.5,856,0.518,0.507,0.268,0.288,0.214,0.708,0.212,0.282
663,Syracuse_2019,13.73,10.09,811,0.496,0.48,0.273,0.312,0.3,0.667,0.252,0.247
664,Temple_2019,8.17,4.93,820,0.499,0.506,0.266,0.301,0.261,0.716,0.236,0.23
665,Tennessee_2019,21.55,10.16,1012,0.554,0.475,0.263,0.278,0.309,0.706,0.251,0.224
666,Texas Tech_2019,22.79,9.53,982,0.535,0.43,0.284,0.306,0.263,0.725,0.241,0.255
667,Utah State_2019,11.98,0.89,1028,0.538,0.464,0.273,0.279,0.319,0.778,0.274,0.243
668,Vermont_2019,4.88,-4.18,890,0.53,0.484,0.263,0.318,0.273,0.787,0.269,0.2
669,Villanova_2019,14.33,7.97,885,0.532,0.504,0.264,0.297,0.301,0.726,0.251,0.197
670,Virginia Commonwealth_2019,11.96,2.87,850,0.501,0.435,0.289,0.308,0.31,0.694,0.251,0.252
671,Virginia Tech_2019,19.28,7.79,832,0.556,0.49,0.282,0.334,0.292,0.73,0.243,0.19
672,Virginia_2019,25.46,10.15,984,0.552,0.447,0.267,0.304,0.297,0.753,0.216,0.175
673,Washington_2019,12.01,7.01,795,0.521,0.475,0.293,0.319,0.288,0.655,0.241,0.241
674,Wisconsin_2019,17.9,11.01,914,0.511,0.452,0.276,0.303,0.243,0.737,0.177,0.172
675,Wofford_2019,13.92,0.8,867,0.58,0.49,0.283,0.311,0.325,0.762,0.19,0.214
676,Yale_2019,5.52,-1.24,898,0.556,0.471,0.292,0.27,0.258,0.759,0.227,0.223
