,Seed,School,Wins
0,1,UNC_1993,6.0
1,8,Rhode Island_1993,1.0
2,5,St. John's (NY)_1993,1.0
3,4,Arkansas_1993,2.0
4,6,Virginia_1993,2.0
5,3,UMass_1993,1.0
6,7,New Mexico State_1993,1.0
7,2,Cincinnati_1993,3.0
8,1,Indiana_1993,3.0
9,9,Xavier_1993,1.0
10,5,Oklahoma State_1993,1.0
11,4,Louisville_1993,2.0
12,6,California_1993,2.0
13,3,Duke_1993,1.0
14,7,BYU_1993,1.0
15,2,Kansas_1993,4.0
16,1,Kentucky_1993,4.0
17,8,Utah_1993,1.0
18,5,Wake Forest_1993,2.0
19,4,Iowa_1993,1.0
20,11,Tulane_1993,1.0
21,3,Florida State_1993,3.0
22,7,Western Kentucky_1993,2.0
23,2,Seton Hall_1993,1.0
24,1,Michigan_1993,5.0
25,9,UCLA_1993,1.0
26,12,George Washington_1993,2.0
27,13,Southern_1993,1.0
28,6,Illinois_1993,1.0
29,3,Vanderbilt_1993,2.0
30,7,Temple_1993,3.0
31,15,Santa Clara_1993,1.0
0,1,UNC_1994,1.0
1,9,Boston College_1994,3.0
2,5,Indiana_1994,2.0
3,4,Temple_1994,1.0
4,11,Penn_1994,1.0
5,3,Florida_1994,4.0
6,10,George Washington_1994,1.0
7,2,UConn_1994,2.0
8,1,Arkansas_1994,6.0
9,9,Georgetown_1994,1.0
10,12,Tulsa_1994,2.0
11,4,Oklahoma State_1994,1.0
12,6,Texas_1994,1.0
13,3,Michigan_1994,3.0
14,10,Maryland_1994,2.0
15,2,UMass_1994,1.0
16,1,Purdue_1994,3.0
17,9,Alabama_1994,1.0
18,5,Wake Forest_1994,1.0
19,4,Kansas_1994,2.0
20,6,Marquette_1994,2.0
21,3,Kentucky_1994,1.0
22,7,Michigan State_1994,1.0
23,2,Duke_1994,5.0
24,1,Missouri_1994,3.0
25,9,Wisconsin_1994,1.0
26,12,Green Bay_1994,1.0
27,4,Syracuse_1994,2.0
28,6,Minnesota_1994,1.0
29,3,Louisville_1994,2.0
30,7,Virginia_1994,1.0
31,2,Arizona_1994,4.0
0,1,Wake Forest_1995,2.0
1,9,Saint Louis_1995,1.0
2,5,Alabama_1995,1.0
3,4,Oklahoma State_1995,4.0
4,6,Tulsa_1995,2.0
5,14,Old Dominion_1995,1.0
6,10,Stanford_1995,1.0
7,2,UMass_1995,3.0
8,1,Kansas_1995,2.0
9,8,Western Kentucky_1995,1.0
10,12,Miami (OH)_1995,1.0
11,4,Virginia_1995,3.0
12,6,Memphis_1995,2.0
13,3,Purdue_1995,1.0
14,7,Syracuse_1995,1.0
15,2,Arkansas_1995,5.0
16,1,Kentucky_1995,3.0
17,9,Tulane_1995,1.0
18,5,Arizona State_1995,2.0
19,13,Manhattan_1995,1.0
20,6,Georgetown_1995,2.0
21,14,Weber State_1995,1.0
22,7,Iowa State_1995,1.0
23,2,UNC_1995,4.0
24,1,UCLA_1995,6.0
25,8,Missouri_1995,1.0
26,5,Mississippi State_1995,2.0
27,4,Utah_1995,1.0
28,11,Texas_1995,1.0
29,3,Maryland_1995,2.0
30,7,Cincinnati_1995,1.0
31,2,UConn_1995,3.0
0,1,UMass_1996,4.0
1,9,Stanford_1996,1.0
2,12,Arkansas_1996,2.0
3,4,Marquette_1996,1.0
4,6,UNC_1996,1.0
5,3,Texas Tech_1996,2.0
6,7,New Mexico_1996,1.0
7,2,Georgetown_1996,3.0
8,1,Kentucky_1996,6.0
9,9,Virginia Tech_1996,1.0
10,5,Iowa State_1996,1.0
11,4,Utah_1996,2.0
12,6,Louisville_1996,2.0
13,3,Villanova_1996,1.0
14,10,Texas_1996,1.0
15,2,Wake Forest_1996,3.0
16,1,UConn_1996,2.0
17,9,Eastern Michigan_1996,1.0
18,5,Mississippi State_1996,4.0
19,13,Princeton_1996,1.0
20,11,Boston College_1996,1.0
21,3,Georgia Tech_1996,2.0
22,7,Temple_1996,1.0
23,2,Cincinnati_1996,3.0
24,1,Purdue_1996,1.0
25,8,Georgia_1996,2.0
26,12,Drexel_1996,1.0
27,4,Syracuse_1996,5.0
28,6,Iowa_1996,1.0
29,3,Arizona_1996,2.0
30,10,Santa Clara_1996,1.0
31,2,Kansas_1996,3.0
0,1,UNC_1997,4.0
1,9,Colorado_1997,1.0
2,5,California_1997,2.0
3,4,Villanova_1997,1.0
4,6,Louisville_1997,3.0
5,3,New Mexico_1997,1.0
6,10,Texas_1997,2.0
7,15,Coppin State_1997,1.0
8,1,Minnesota_1997,4.0
9,9,Temple_1997,1.0
10,5,Tulsa_1997,1.0
11,4,Clemson_1997,2.0
12,6,Iowa State_1997,2.0
13,3,Cincinnati_1997,1.0
14,7,Xavier_1997,1.0
15,2,UCLA_1997,3.0
16,1,Kansas_1997,2.0
17,8,Purdue_1997,1.0
18,12,College of Charleston_1997,1.0
19,4,Arizona_1997,6.0
20,6,Illinois_1997,1.0
21,14,Chattanooga_1997,2.0
22,10,Providence_1997,3.0
23,2,Duke_1997,1.0
24,1,Kentucky_1997,5.0
25,8,Iowa_1997,1.0
26,5,Boston College_1997,1.0
27,4,St. Joseph's_1997,2.0
28,6,Stanford_1997,2.0
29,3,Wake Forest_1997,1.0
30,7,Charlotte_1997,1.0
31,2,Utah_1997,3.0
0,1,UNC_1998,4.0
1,8,Charlotte_1998,1.0
2,5,Princeton_1998,1.0
3,4,Michigan State_1998,2.0
4,11,Washington_1998,2.0
5,14,Richmond_1998,1.0
6,7,Indiana_1998,1.0
7,2,UConn_1998,3.0
8,1,Kansas_1998,1.0
9,8,Rhode Island_1998,3.0
10,12,Florida State_1998,1.0
11,13,Valparaiso_1998,2.0
12,11,Western Michigan_1998,1.0
13,3,Stanford_1998,4.0
14,10,Detroit_1998,1.0
15,2,Purdue_1998,2.0
16,1,Duke_1998,3.0
17,8,Oklahoma State_1998,1.0
18,5,Syracuse_1998,2.0
19,4,New Mexico_1998,1.0
20,6,UCLA_1998,2.0
21,3,Michigan_1998,1.0
22,10,Saint Louis_1998,1.0
23,2,Kentucky_1998,6.0
24,1,Arizona_1998,3.0
25,9,Illinois State_1998,1.0
26,5,Illinois_1998,1.0
27,4,Maryland_1998,2.0
28,6,Arkansas_1998,1.0
29,3,Utah_1998,5.0
30,10,West Virginia_1998,2.0
31,2,Cincinnati_1998,1.0
0,1,Duke_1999,5.0
1,9,Tulsa_1999,1.0
2,12,Missouri State_1999,2.0
3,4,Tennessee_1999,1.0
4,6,Temple_1999,3.0
5,3,Cincinnati_1999,1.0
6,10,Purdue_1999,2.0
7,2,Miami (FL)_1999,1.0
8,1,Michigan State_1999,4.0
9,9,Ole Miss_1999,1.0
10,5,Charlotte_1999,1.0
11,13,Oklahoma_1999,2.0
12,6,Kansas_1999,1.0
13,3,Kentucky_1999,3.0
14,10,Miami (OH)_1999,2.0
15,2,Utah_1999,1.0
16,1,Auburn_1999,2.0
17,9,Oklahoma State_1999,1.0
18,12,Detroit_1999,1.0
19,4,Ohio State_1999,4.0
20,6,Indiana_1999,1.0
21,3,St. John's (NY)_1999,3.0
22,10,Creighton_1999,1.0
23,2,Maryland_1999,2.0
24,1,UConn_1999,6.0
25,9,New Mexico_1999,1.0
26,5,Iowa_1999,2.0
27,4,Arkansas_1999,1.0
28,6,Florida_1999,2.0
29,14,Weber State_1999,1.0
30,10,Gonzaga_1999,3.0
31,2,Stanford_1999,1.0
0,1,Duke_2000,2.0
1,8,Kansas_2000,1.0
2,5,Florida_2000,5.0
3,4,Illinois_2000,1.0
4,11,Pepperdine_2000,1.0
5,3,Oklahoma State_2000,3.0
6,10,Seton Hall_2000,2.0
7,2,Temple_2000,1.0
8,1,Michigan State_2000,6.0
9,8,Utah_2000,1.0
10,5,Kentucky_2000,1.0
11,4,Syracuse_2000,2.0
12,6,UCLA_2000,2.0
13,3,Maryland_2000,1.0
14,7,Auburn_2000,1.0
15,2,Iowa State_2000,3.0
16,1,Stanford_2000,1.0
17,8,UNC_2000,4.0
18,5,UConn_2000,1.0
19,4,Tennessee_2000,2.0
20,6,Miami (FL)_2000,2.0
21,3,Ohio State_2000,1.0
22,7,Tulsa_2000,3.0
23,2,Cincinnati_2000,1.0
24,1,Arizona_2000,1.0
25,8,Wisconsin_2000,4.0
26,5,Texas_2000,1.0
27,4,LSU_2000,2.0
28,6,Purdue_2000,3.0
29,3,Oklahoma_2000,1.0
30,10,Gonzaga_2000,2.0
31,2,St. John's (NY)_2000,1.0
0,1,Illinois_2001,3.0
1,9,Charlotte_2001,1.0
2,5,Syracuse_2001,1.0
3,4,Kansas_2001,2.0
4,6,Notre Dame_2001,1.0
5,3,Ole Miss_2001,2.0
6,10,Butler_2001,1.0
7,2,Arizona_2001,5.0
8,1,Duke_2001,6.0
9,9,Missouri_2001,1.0
10,12,Utah State_2001,1.0
11,4,UCLA_2001,2.0
12,6,USC_2001,3.0
13,3,Boston College_2001,1.0
14,7,Iowa_2001,1.0
15,2,Kentucky_2001,2.0
16,1,Michigan State_2001,4.0
17,9,Fresno State_2001,1.0
18,12,Gonzaga_2001,2.0
19,13,Indiana State_2001,1.0
20,11,Temple_2001,3.0
21,3,Florida_2001,1.0
22,7,Penn State_2001,2.0
23,2,UNC_2001,1.0
24,1,Stanford_2001,3.0
25,9,St. Joseph's_2001,1.0
26,5,Cincinnati_2001,2.0
27,13,Kent State_2001,1.0
28,11,Georgia State_2001,1.0
29,3,Maryland_2001,4.0
30,10,Georgetown_2001,2.0
31,15,Hampton_2001,1.0
0,1,Maryland_2002,6.0
1,8,Wisconsin_2002,1.0
2,12,Tulsa_2002,1.0
3,4,Kentucky_2002,2.0
4,11,Southern Illinois_2002,2.0
5,3,Georgia_2002,1.0
6,7,NC State_2002,1.0
7,2,UConn_2002,3.0
8,1,Kansas_2002,4.0
9,8,Stanford_2002,1.0
10,12,Creighton_2002,1.0
11,4,Illinois_2002,2.0
12,6,Texas_2002,2.0
13,3,Mississippi State_2002,1.0
14,7,Wake Forest_2002,1.0
15,2,Oregon_2002,3.0
16,1,Duke_2002,2.0
17,8,Notre Dame_2002,1.0
18,5,Indiana_2002,5.0
19,13,UNC Wilmington_2002,1.0
20,6,California_2002,1.0
21,3,Pitt_2002,2.0
22,10,Kent State_2002,3.0
23,2,Alabama_2002,1.0
24,1,Cincinnati_2002,1.0
25,8,UCLA_2002,2.0
26,12,Missouri_2002,3.0
27,4,Ohio State_2002,1.0
28,11,Wyoming_2002,1.0
29,3,Arizona_2002,2.0
30,7,Xavier_2002,1.0
31,2,Oklahoma_2002,4.0
0,1,Texas_2003,4.0
1,9,Purdue_2003,1.0
2,5,UConn_2003,2.0
3,4,Stanford_2003,1.0
4,6,Maryland_2003,2.0
5,3,Xavier_2003,1.0
6,7,Michigan State_2003,3.0
7,2,Florida_2003,1.0
8,1,Oklahoma_2003,3.0
9,8,California_2003,1.0
10,12,Butler_2003,2.0
11,4,Louisville_2003,1.0
12,6,Oklahoma State_2003,1.0
13,3,Syracuse_2003,6.0
14,10,Auburn_2003,2.0
15,2,Wake Forest_2003,1.0
16,1,Kentucky_2003,3.0
17,9,Utah_2003,1.0
18,5,Wisconsin_2003,2.0
19,13,Tulsa_2003,1.0
20,6,Missouri_2003,1.0
21,3,Marquette_2003,4.0
22,7,Indiana_2003,1.0
23,2,Pitt_2003,2.0
24,1,Arizona_2003,3.0
25,9,Gonzaga_2003,1.0
26,5,Notre Dame_2003,2.0
27,4,Illinois_2003,1.0
28,11,Central Michigan_2003,1.0
29,3,Duke_2003,2.0
30,10,Arizona State_2003,1.0
31,2,Kansas_2003,5.0
0,1,Kentucky_2004,1.0
1,9,Alabama-Birmingham_2004,2.0
2,12,Pacific_2004,1.0
3,4,Kansas_2004,3.0
4,6,Boston College_2004,1.0
5,3,Georgia Tech_2004,5.0
6,10,Nevada_2004,2.0
7,2,Gonzaga_2004,1.0
8,1,Duke_2004,4.0
9,8,Seton Hall_2004,1.0
10,5,Illinois_2004,2.0
11,4,Cincinnati_2004,1.0
12,6,UNC_2004,1.0
13,3,Texas_2004,2.0
14,7,Xavier_2004,3.0
15,2,Mississippi State_2004,1.0
16,1,St. Joseph's_2004,3.0
17,8,Texas Tech_2004,1.0
18,12,Manhattan_2004,1.0
19,4,Wake Forest_2004,2.0
20,6,Wisconsin_2004,1.0
21,3,Pitt_2004,2.0
22,7,Memphis_2004,1.0
23,2,Oklahoma State_2004,4.0
24,1,Stanford_2004,1.0
25,8,Alabama_2004,3.0
26,5,Syracuse_2004,2.0
27,4,Maryland_2004,1.0
28,6,Vanderbilt_2004,2.0
29,3,NC State_2004,1.0
30,7,DePaul_2004,1.0
31,2,UConn_2004,6.0
0,1,UNC_2005,6.0
1,9,Iowa State_2005,1.0
2,5,Villanova_2005,2.0
3,4,Florida_2005,1.0
4,6,Wisconsin_2005,3.0
5,14,Bucknell_2005,1.0
6,10,NC State_2005,2.0
7,2,UConn_2005,1.0
8,1,Washington_2005,2.0
9,8,Pacific_2005,1.0
10,5,Georgia Tech_2005,1.0
11,4,Louisville_2005,4.0
12,6,Texas Tech_2005,2.0
13,3,Gonzaga_2005,1.0
14,7,West Virginia_2005,3.0
15,2,Wake Forest_2005,1.0
16,1,Duke_2005,2.0
17,9,Mississippi State_2005,1.0
18,5,Michigan State_2005,4.0
19,13,Vermont_2005,1.0
20,6,Utah_2005,2.0
21,3,Oklahoma_2005,1.0
22,7,Cincinnati_2005,1.0
23,2,Kentucky_2005,3.0
24,1,Illinois_2005,5.0
25,9,Nevada_2005,1.0
26,12,Milwaukee_2005,2.0
27,4,Boston College_2005,1.0
28,11,Alabama-Birmingham_2005,1.0
29,3,Arizona_2005,3.0
30,7,Southern Illinois_2005,1.0
31,2,Oklahoma State_2005,2.0
0,1,Villanova_2006,3.0
1,8,Arizona_2006,1.0
2,12,Montana_2006,1.0
3,4,Boston College_2006,2.0
4,11,Milwaukee_2006,1.0
5,3,Florida_2006,6.0
6,7,Georgetown_2006,2.0
7,2,Ohio State_2006,1.0
8,1,Duke_2006,2.0
9,8,George Washington_2006,1.0
10,12,Texas A&M_2006,1.0
11,4,LSU_2006,4.0
12,6,West Virginia_2006,2.0
13,14,Northwestern State_2006,1.0
