Rk,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
1,Abilene Christian,708,1557,210,447,671,294,1017,427
2,Air Force,861,1883,320,435,613,275,1135,407
3,Akron,913,2058,249,475,673,347,1188,415
4,Alabama A&M,821,1724,214,399,586,356,1055,268
5,Alabama-Birmingham,836,1941,250,394,569,339,1080,381
6,Alabama State,798,1799,196,513,755,363,1170,394
7,Alabama,748,1848,209,495,738,329,1138,460
8,Albany (NY),808,1873,276,409,578,262,1008,399
9,Alcorn State,768,1838,181,458,707,370,1173,418
10,American,716,1528,172,445,632,258,996,397
11,Appalachian State,788,1718,194,509,742,284,1097,382
12,Arizona State,978,2040,304,435,611,366,1310,440
13,Arizona NCAA,893,2121,239,415,607,339,1107,432
14,Little Rock,739,1661,228,479,668,280,1034,430
15,Arkansas-Pine Bluff,731,1631,207,651,920,364,1153,535
16,Arkansas State,760,1755,195,496,724,306,1074,422
17,Arkansas NCAA,901,2159,263,594,843,460,1322,477
18,Army,839,1907,220,442,641,275,1128,403
19,Auburn,861,1972,273,551,765,398,1248,482
20,Austin Peay,922,1877,264,407,558,364,1122,407
21,Ball State,885,2097,267,530,738,372,1222,435
22,Baylor NCAA,794,1960,222,418,586,351,1023,397
23,Belmont,742,1739,178,416,558,263,973,340
24,Bethune-Cookman,886,1889,225,493,733,398,1279,467
25,Binghamton,815,1813,248,392,574,294,1117,373
26,Boise State,775,1815,183,545,748,296,1081,378
27,Boston College,864,1840,229,551,729,263,1109,398
28,Boston University,769,1809,274,452,661,321,1138,473
29,Bowling Green State,879,1893,231,464,638,311,1210,472
30,Bradley,775,1854,248,535,748,359,1195,432
31,Brigham Young,906,2175,274,437,677,349,1230,416
32,Brown,832,1669,229,445,623,277,1017,474
33,Bryant,860,1904,234,524,713,351,1175,407
34,Bucknell NCAA,860,2017,216,440,667,347,1176,487
35,Buffalo,794,1914,233,554,812,362,1144,410
36,Butler NCAA,818,1837,231,474,680,293,1065,451
37,Cal Poly,791,1696,184,476,664,300,1155,372
38,Cal State Bakersfield,696,1874,242,601,870,389,1232,584
39,Cal State Fullerton,771,1823,212,526,729,297,1094,457
40,Cal State Northridge,842,1832,209,547,760,340,1097,391
41,UC-Davis NCAA,889,2086,253,475,666,347,1241,503
42,UC-Irvine,779,2034,221,552,789,352,1191,379
43,UC-Riverside,693,1660,224,406,560,292,1056,396
44,UC-Santa Barbara,702,1572,236,347,502,275,1049,326
45,University of California,757,1893,202,438,647,292,1095,379
46,Campbell,896,2057,245,568,793,347,1252,442
47,Canisius,962,1976,229,489,667,359,1200,508
48,Central Arkansas,945,2031,350,452,650,378,1210,366
49,Central Connecticut State,749,1602,233,381,555,304,1026,392
50,Central Florida,793,2175,273,343,485,370,1174,351
51,Central Michigan,1022,2222,282,481,688,423,1366,398
52,Charleston Southern,795,1725,238,515,699,267,1088,391
53,Charlotte,870,1860,207,460,656,339,1204,413
54,Chattanooga,748,1682,175,461,610,325,1040,463
55,Chicago State,870,1870,302,469,664,337,1278,435
56,Cincinnati NCAA,767,1974,251,423,575,368,1162,475
57,Citadel,1106,2162,282,627,891,410,1450,578
58,Clemson,875,1930,254,357,467,360,1158,451
59,Cleveland State,771,1685,212,468,684,324,1153,485
60,Coastal Carolina,979,2345,369,531,751,385,1449,470
61,Colgate,782,1732,252,457,660,263,1049,380
62,College of Charleston,813,1942,229,405,612,360,1237,432
63,Colorado State,860,2115,272,455,663,388,1274,418
64,Colorado,855,1978,277,468,662,340,1171,407
65,Columbia,673,1552,251,367,536,303,1001,385
66,Connecticut,754,1919,255,426,606,376,1164,349
67,Coppin State,872,1856,256,521,747,367,1291,433
68,Cornell,807,1769,214,410,556,277,1030,323
69,Creighton NCAA,933,2134,259,424,615,379,1257,489
70,Dartmouth,740,1575,197,343,484,246,899,293
71,Davidson,810,1874,241,431,625,318,1167,382
72,Dayton NCAA,731,1772,227,437,618,312,1110,479
73,Delaware State,814,1826,273,498,689,392,1232,458
74,Delaware,813,1823,280,475,711,306,1155,330
75,Denver,756,1700,236,491,664,257,933,323
76,DePaul,812,1743,253,511,700,308,1101,444
77,Detroit Mercy,894,1789,252,590,853,323,1164,455
78,Drake,866,1878,259,399,574,338,1185,384
79,Drexel,877,1899,244,510,739,340,1186,405
80,Duke NCAA,959,2218,187,492,693,399,1245,447
81,Duquesne,843,1926,237,453,641,357,1195,400
82,East Carolina,771,1969,218,388,535,397,1231,374
83,East Tennessee State NCAA,819,1962,274,526,729,340,1123,548
84,Eastern Illinois,718,1667,197,450,642,330,1127,459
85,Eastern Kentucky,785,1770,224,536,734,348,1155,428
86,Eastern Michigan,772,1829,242,623,869,403,1208,533
87,Eastern Washington,897,2031,271,527,733,343,1154,359
88,Elon,836,1989,251,369,524,328,1199,353
89,Evansville,758,1800,242,503,712,313,1111,420
90,Fairfield,830,1890,210,409,604,329,1182,392
91,Fairleigh Dickinson,769,1704,202,510,734,350,1105,412
92,Florida A&M,836,1834,270,423,626,373,1246,426
93,Florida Atlantic,799,1772,189,434,624,331,1186,391
94,Florida Gulf Coast NCAA,830,1953,232,464,682,347,1085,441
95,Florida International,809,1738,214,450,620,283,1000,359
96,Florida State NCAA,857,2060,259,550,769,382,1189,494
97,Florida NCAA,849,2070,198,498,705,375,1266,533
98,Fordham,732,1585,218,485,678,293,1147,561
99,Fresno State,755,1817,230,575,810,318,1145,486
100,Furman,812,1915,245,450,643,314,1130,473
101,Gardner-Webb,787,1885,230,515,748,333,1127,496
102,George Mason,888,2090,252,409,587,312,1123,344
103,George Washington,904,2031,233,397,546,312,1132,379
104,Georgetown,798,1893,199,514,735,364,1116,393
105,Georgia Southern,851,1962,273,445,667,397,1306,451
106,Georgia State,758,1844,274,522,734,336,1100,474
107,Georgia Tech,887,2231,272,426,608,429,1343,485
108,Georgia,832,2024,246,483,692,365,1184,402
109,Gonzaga NCAA,875,2400,223,425,646,421,1312,475
110,Grambling,834,1761,245,499,736,359,1222,572
111,Grand Canyon,759,1805,206,379,544,308,1124,466
112,Green Bay,880,2037,281,438,658,359,1252,485
113,Hampton,751,1729,219,498,733,311,1111,454
114,Hartford,874,1923,250,467,671,393,1278,419
115,Harvard,634,1539,168,406,596,292,960,356
116,Hawaii,726,1618,181,415,622,273,1000,425
117,High Point,754,1715,254,374,552,284,1037,419
118,Hofstra,904,1955,242,404,558,326,1149,339
119,Holy Cross,702,1551,248,336,471,297,1084,508
120,Houston Baptist,837,1825,236,488,662,288,1016,417
121,Houston,701,1717,218,457,633,342,1115,437
122,Howard,841,1973,258,495,711,418,1289,426
123,Idaho State,879,1827,289,439,610,322,1154,402
124,Idaho,752,1810,276,566,764,283,1094,410
125,Illinois-Chicago,984,2329,245,541,739,425,1313,447
126,Illinois State,733,1934,246,434,627,369,1206,448
127,Illinois,869,2002,245,434,597,311,1161,448
128,Incarnate Word,829,1798,165,497,684,343,1127,363
129,Indiana State,758,1807,209,530,766,343,1267,401
130,Indiana,867,2021,233,524,743,355,1081,379
131,Iona NCAA,951,2183,280,507,729,429,1345,461
132,Iowa State NCAA,933,2178,270,393,558,416,1339,491
133,Iowa,976,2195,289,413,603,427,1303,486
134,Fort Wayne,900,2031,327,475,636,277,1089,467
135,IUPUI,860,1823,227,570,754,296,1129,438
136,Jackson State,696,1602,188,562,782,282,1096,441
137,Jacksonville State NCAA,816,1955,268,478,663,343,1116,381
138,Jacksonville,882,1857,281,432,648,296,1101,483
139,James Madison,775,1767,262,487,679,275,1025,391
140,Kansas State NCAA,827,1921,250,468,642,382,1171,525
141,Kansas NCAA,924,2200,268,472,660,401,1234,483
142,Kennesaw State,885,1876,220,466,689,315,1101,398
143,Kent State NCAA,931,2139,265,501,713,385,1238,502
144,Kentucky NCAA,979,2309,235,523,774,388,1332,544
145,La Salle,810,1733,262,415,573,276,998,375
146,Lafayette,807,1766,292,376,549,301,1120,388
147,Lamar,853,1850,187,541,767,330,1162,545
148,Lehigh,816,1879,249,380,519,269,1029,420
149,Liberty,738,1702,241,503,698,252,1179,499
150,Lipscomb,872,1967,243,575,828,361,1171,514
151,Long Beach State,939,2028,263,525,749,384,1236,469
152,Long Island University,766,1796,222,464,659,330,1058,434
153,Longwood,874,1833,249,411,590,361,1141,380
154,Louisiana,905,1913,230,478,686,298,1059,495
155,Louisiana-Monroe,816,1881,239,428,633,333,1156,373
156,Louisiana State,897,1899,277,501,698,349,1143,383
157,Louisiana Tech,810,1955,230,353,517,314,1130,457
158,Louisville NCAA,760,1894,213,510,734,348,1139,460
159,Loyola (IL),766,1716,212,393,554,263,1032,463
160,Loyola Marymount,718,1599,197,492,688,294,1043,447
161,Loyola (MD),810,1748,189,440,613,289,1058,478
162,Maine,861,1866,234,444,616,310,1191,369
163,Manhattan,796,1759,224,669,940,330,1126,468
164,Marist,879,1909,250,522,707,374,1228,350
165,Marquette NCAA,859,1871,235,465,667,319,1077,418
166,Marshall,1104,2393,242,489,742,469,1474,462
167,Maryland-Baltimore County,922,2031,274,506,700,320,1205,436
168,Maryland-Eastern Shore,880,1938,263,562,794,398,1321,482
169,Maryland NCAA,797,1917,212,440,626,383,1160,418
170,Massachusetts-Lowell,872,1882,255,518,704,329,1080,408
171,Massachusetts,783,1897,212,594,844,368,1220,472
172,McNeese State,796,1774,196,504,702,380,1193,384
173,Memphis,794,1879,246,428,623,352,1161,435
174,Mercer,735,1771,272,442,592,316,999,328
175,Miami (FL) NCAA,761,1817,208,386,522,318,1043,392
176,Miami (OH),796,1842,271,521,709,357,1223,484
177,Michigan State NCAA,832,2027,229,511,704,349,1150,380
178,Michigan NCAA,958,2060,224,383,560,348,1210,478
179,Middle Tennessee NCAA,791,1882,219,498,700,286,1088,476
180,Milwaukee,891,1915,267,445,634,291,1175,408
181,Minnesota NCAA,857,2142,220,427,626,415,1312,429
182,Mississippi State,792,1852,199,498,701,354,1182,448
183,Mississippi Valley State,935,1910,286,509,722,368,1250,456
184,Mississippi,938,2204,321,550,785,414,1313,501
185,Missouri-Kansas City,951,2081,257,594,873,389,1317,522
186,Missouri State,801,1844,224,451,601,268,1026,371
187,Missouri,779,1821,247,528,775,351,1259,439
188,Monmouth,853,2097,266,532,748,399,1299,498
189,Montana State,815,1815,263,639,900,310,1184,429
190,Montana,802,1737,202,542,772,283,1082,404
191,Morehead State,780,1689,261,490,697,269,981,440
192,Morgan State,749,1710,163,460,699,336,1129,433
193,Mount St. Mary's NCAA,923,2039,190,438,664,427,1351,534
194,Murray State,879,1955,260,525,742,346,1201,434
195,Navy,708,1557,223,414,600,244,960,497
196,Omaha,941,2031,291,500,678,355,1209,481
197,Nebraska,805,1800,240,414,593,323,1125,422
198,Nevada-Las Vegas,882,1957,256,385,559,317,1216,377
199,Nevada NCAA,920,2149,236,420,607,341,1229,397
200,New Hampshire,786,1848,214,330,524,251,1032,336
201,New Mexico State NCAA,827,1972,188,468,686,371,1124,466
202,New Mexico,766,1771,261,460,667,307,1049,416
203,New Orleans NCAA,792,1793,209,422,614,349,1016,521
204,Niagara,921,2090,268,469,643,385,1268,382
205,Nicholls State,882,1882,258,442,645,402,1230,475
206,NJIT,814,1773,254,438,623,250,1046,416
207,Norfolk State,822,2024,266,520,795,380,1244,418
208,North Carolina-Asheville,815,1814,249,382,581,298,1142,547
209,North Carolina A&T,817,1840,291,510,711,371,1110,312
210,North Carolina Central NCAA,788,2007,210,373,576,416,1225,474
211,North Carolina-Greensboro,832,1942,258,502,673,361,1119,486
212,North Carolina State,918,2039,268,443,619,380,1156,361
213,North Carolina-Wilmington NCAA,938,1964,192,556,777,320,1184,504
214,North Carolina NCAA,982,2377,319,541,746,362,1258,544
215,North Dakota State,757,1764,251,379,535,301,1046,369
216,North Dakota NCAA,824,1858,215,494,715,310,1123,479
217,North Florida,960,2143,257,497,725,410,1224,408
218,North Texas,784,1815,231,459,616,347,1163,398
219,Northeastern,806,1773,235,383,550,284,1051,359
220,Northern Arizona,879,1913,253,425,617,303,1145,386
221,Northern Colorado,763,1677,222,419,588,253,1047,375
222,Northern Illinois,777,1786,256,451,675,311,1109,477
223,Northern Iowa,697,1624,230,307,409,271,1099,415
224,Northern Kentucky NCAA,918,2087,227,444,628,322,1165,427
225,Northwestern State,816,1737,228,441,663,325,1065,424
226,Northwestern NCAA,817,2025,233,490,732,404,1275,430
227,Notre Dame NCAA,914,2118,250,416,565,387,1278,456
228,Oakland,882,2166,225,430,614,388,1246,483
229,Ohio State,791,1902,278,372,560,351,1119,387
230,Ohio,768,1853,218,412,602,326,1149,417
231,Oklahoma State NCAA,875,1856,235,604,834,345,1083,491
232,Oklahoma,806,1871,259,428,627,344,1152,415
233,Old Dominion,632,1579,202,430,609,265,1015,400
234,Oral Roberts,857,1832,277,407,576,307,1109,357
235,Oregon State,798,1793,237,488,696,350,1128,376
236,Oregon NCAA,932,2311,273,428,595,408,1274,516
237,Pacific,800,1782,259,512,736,268,1159,383
238,Penn State,856,1990,246,442,620,370,1282,491
239,Pennsylvania,650,1561,222,382,524,294,998,381
240,Pepperdine,910,1874,292,378,535,299,1129,337
241,Pittsburgh,910,2028,261,383,540,354,1153,322
242,Portland State,900,1873,276,459,632,322,1173,527
243,Portland,846,1971,290,401,578,373,1209,382
244,Prairie View,806,1756,213,594,861,383,1253,502
245,Presbyterian,766,1674,285,428,607,321,1053,348
246,Princeton NCAA,652,1568,195,344,499,238,1002,394
247,Providence NCAA,810,1840,207,380,562,322,1142,454
248,Purdue NCAA,902,2145,242,347,491,313,1088,411
249,Quinnipiac,899,1936,239,546,739,342,1178,393
250,Radford,826,1851,214,381,551,300,1060,327
251,Rhode Island NCAA,762,1875,166,598,845,373,1212,459
252,Rice,942,2146,229,537,760,341,1213,472
253,Richmond,890,2012,229,511,697,373,1279,492
254,Rider,859,2007,247,535,721,339,1191,444
255,Robert Morris,777,1773,162,522,754,354,1227,548
256,Rutgers,778,1882,232,427,594,356,1158,427
257,Sacramento State,827,1828,235,414,584,307,1085,333
258,Sacred Heart,871,1895,258,436,631,310,1117,459
259,Saint Francis (PA),924,2157,312,373,512,407,1244,457
260,Saint Joseph's,779,1795,281,426,584,283,1111,392
261,Saint Louis,784,1787,240,480,688,305,1178,367
262,Saint Mary's (CA) NCAA,738,1792,149,329,476,245,903,318
263,Saint Peter's,782,1881,247,378,549,305,1175,481
264,Sam Houston State,782,1835,233,627,863,306,1176,554
265,Samford,961,2241,298,513,715,419,1277,449
266,San Diego State,715,1845,219,415,587,342,1157,426
267,San Diego,785,1710,225,415,608,257,1059,312
268,San Francisco,793,1879,207,429,626,318,1163,440
269,San Jose State,776,1688,191,502,672,244,1028,416
270,Santa Clara,769,1703,211,409,596,256,1116,409
271,Savannah State,960,2123,307,438,653,457,1411,461
272,Seattle,727,1803,249,438,606,344,1137,414
273,Seton Hall NCAA,811,1872,214,487,677,295,1087,403
274,Siena,901,2014,224,515,714,354,1135,415
275,South Alabama,793,1793,237,499,716,342,1215,520
276,South Carolina State,886,1832,218,496,696,366,1180,389
277,South Carolina Upstate,919,2106,264,426,585,372,1209,363
278,South Carolina NCAA,789,1969,208,628,868,382,1304,632
279,South Dakota State NCAA,963,2140,369,402,557,356,1195,400
280,South Dakota,888,2048,273,464,639,330,1235,465
281,South Florida,740,1724,281,474,692,373,1119,398
282,Southeast Missouri State,857,1793,264,486,684,310,1163,519
283,Southeastern Louisiana,752,1747,202,476,682,324,1033,486
284,Southern California NCAA,973,2243,301,386,538,408,1272,452
285,SIU Edwardsville,787,1688,176,532,727,278,1051,394
286,Southern Illinois,812,1817,266,399,606,345,1164,453
287,Southern Methodist NCAA,745,1928,282,328,474,329,1035,409
288,Southern Mississippi,776,1765,282,405,585,272,1138,362
289,Southern Utah,917,1922,290,690,959,327,1232,414
290,Southern,849,1988,206,495,742,425,1206,407
291,St. Bonaventure,778,1801,243,517,747,352,1101,475
292,St. Francis (NY),795,1676,161,533,783,338,1293,434
293,St. John's (NY),904,1963,249,541,771,390,1286,500
294,Stanford,751,1691,258,444,640,277,1030,445
295,Stephen F. Austin,772,1712,208,519,763,306,1013,534
296,Stetson,964,2122,267,459,660,401,1382,370
297,Stony Brook,747,1702,232,478,682,303,1158,423
298,Syracuse,867,2014,295,387,586,431,1216,456
299,Temple,807,1875,226,437,601,369,1212,404
300,Tennessee-Martin,931,2097,321,447,631,402,1154,477
301,Tennessee State,637,1567,248,510,737,288,980,471
302,Tennessee Tech,788,1817,249,515,697,336,1163,467
303,Tennessee,783,1832,219,550,787,355,1184,447
304,Texas A&M-Corpus Christi,874,1994,285,541,790,388,1253,587
305,Texas A&M,739,1829,249,375,514,361,1029,360
306,Texas-Arlington,859,2081,300,498,762,399,1273,525
307,Texas Christian,988,2230,273,469,685,392,1260,509
308,Texas-El Paso,746,1770,243,467,690,279,1088,391
309,Texas-Rio Grande Valley,884,1881,239,658,968,370,1274,525
310,Texas-San Antonio,796,1832,237,462,685,276,1163,406
311,Texas Southern NCAA,940,2113,196,466,682,441,1310,473
312,Texas State,780,1891,213,483,673,349,1197,484
313,Texas Tech,731,1690,255,429,602,261,956,436
314,Texas,820,1932,218,415,580,367,1183,414
315,Toledo,986,2140,208,387,567,316,1141,351
316,Towson,740,1769,240,563,820,296,1043,437
317,Troy NCAA,933,2182,295,506,703,380,1267,463
318,Tulane,843,1788,235,513,730,344,1185,440
319,Tulsa,786,1810,254,423,600,316,1062,400
320,UCLA NCAA,1000,2371,310,409,602,413,1257,423
321,Utah State,789,1871,237,433,621,309,1089,360
322,Utah Valley,886,2135,222,485,722,331,1288,471
323,Utah,787,1887,216,390,573,281,998,385
324,Valparaiso,801,1935,243,429,619,326,1114,426
325,Vanderbilt NCAA,862,2028,226,435,622,339,1209,379
326,Vermont NCAA,812,1918,199,351,498,315,1066,453
327,Villanova NCAA,846,2018,251,313,445,336,1073,475
328,Virginia Commonwealth NCAA,800,1897,202,541,776,334,1185,515
329,VMI,826,1709,244,450,671,308,1125,390
330,Virginia Tech NCAA,902,2029,264,397,554,359,1146,383
331,Virginia NCAA,658,1653,209,391,559,264,1022,432
332,Wagner,670,1640,197,436,630,326,967,366
333,Wake Forest NCAA,891,1948,270,536,740,323,1109,385
334,Washington State,881,1917,248,366,527,322,1125,314
335,Washington,898,1926,236,481,669,345,1091,372
336,Weber State,937,2075,197,434,587,366,1197,406
337,West Virginia NCAA,826,1948,250,565,827,393,1274,740
338,Western Carolina,770,1731,248,557,794,309,1137,432
339,Western Illinois,729,1671,214,479,656,244,1051,289
340,Western Kentucky,853,1887,266,330,467,297,1104,343
341,Western Michigan,858,1824,247,445,631,275,1068,423
342,Wichita State NCAA,754,2000,241,497,718,321,1154,488
343,William & Mary,838,1898,270,465,659,319,1077,343
344,Winthrop NCAA,811,1990,219,481,666,355,1207,462
345,Wisconsin NCAA,822,1992,251,413,559,313,1142,473
346,Wofford,881,1868,216,501,688,303,1092,411
347,Wright State,804,1821,242,467,662,287,1055,462
348,Wyoming,957,2381,257,662,914,409,1495,460
349,Xavier NCAA,964,2144,283,500,716,327,1188,454
350,Yale,744,1736,218,322,453,300,959,341
351,Youngstown State,1034,2239,280,451,628,397,1381,418


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">CBB at Sports Reference</a>: <a href="https://www.sports-reference.com/cbb/seasons/2017-opponent-stats.html?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#basic_opp_stats">View Original Table</a><br>Generated 10/18/2018.
